,MJD-OBS,TELRA,TELDEC,AMSTART,fn,On Slit,Binary Component,Nod Position
43,59285.154336,10:49:12.407,-53:19:05.89,1.093,SDCS_20210311_0045.fits,Y,B,B
44,59285.15502,10:49:12.407,-53:19:05.89,1.092,SDCS_20210311_0046.fits,Y,B,B
45,59285.155707,10:49:12.228,-53:19:07.59,1.092,SDCS_20210311_0047.fits,Y,B,A
46,59285.155847,10:49:12.228,-53:19:07.59,1.092,SDCS_20210311_0048.fits,Y,B,A
47,59285.156528,10:49:12.227,-53:19:07.59,1.092,SDCS_20210311_0049.fits,Y,B,A
48,59285.157218,10:49:12.227,-53:19:07.59,1.091,SDCS_20210311_0050.fits,Y,B,A
49,59285.157909,10:49:12.227,-53:19:07.59,1.091,SDCS_20210311_0051.fits,Y,B,A
50,59286.244433,10:49:12.345,-53:19:02.90,1.151,SDCS_20210312_0151.fits,N,-,-
51,59286.245245,10:49:12.344,-53:19:02.90,1.152,SDCS_20210312_0152.fits,N,-,-
52,59286.24558,10:49:12.043,-53:19:06.50,1.153,SDCS_20210312_0153.fits,N,-,-
53,59286.245952,10:49:12.076,-53:19:06.50,1.154,SDCS_20210312_0154.fits,N,-,-
54,59286.246244,10:49:12.038,-53:19:06.17,1.154,SDCS_20210312_0155.fits,Y,A,A
55,59286.246415,10:49:12.038,-53:19:06.17,1.155,SDCS_20210312_0156.fits,Y,A,A
56,59286.246548,10:49:12.038,-53:19:06.17,1.155,SDCS_20210312_0157.fits,Y,A,A
57,59286.247227,10:49:12.038,-53:19:06.17,1.156,SDCS_20210312_0158.fits,Y,A,A
58,59286.247912,10:49:12.037,-53:19:06.17,1.158,SDCS_20210312_0159.fits,Y,A,A
59,59286.2486,10:49:12.215,-53:19:04.47,1.159,SDCS_20210312_0160.fits,Y,A,B
60,59286.248742,10:49:12.215,-53:19:04.47,1.159,SDCS_20210312_0161.fits,Y,A,B
61,59286.249424,10:49:12.215,-53:19:04.47,1.161,SDCS_20210312_0162.fits,Y,A,B
62,59286.250104,10:49:12.214,-53:19:04.47,1.162,SDCS_20210312_0163.fits,Y,A,B
63,59286.250791,10:49:12.214,-53:19:04.46,1.163,SDCS_20210312_0164.fits,Y,A,B
